"Planet_number","planet_name","STAR_IDX","Mass (Earth)","relative density","RADIUS","TYPE_TERRAIN","CLIMATE TYPE"
77,"Chara Undecimal",4232,4.96,1.085,1.66,"lava river:rock arche","superheated:windy:artic:arid"
78,"Pleione Phi",1801,2.62,1.048,1.36,"cliff:river:acid pool","tropical:hot:temperate:humid:windy"
79,"Xamidimura Harpian",9724,1.89,1.356,1.12,"acid pool:rainforest:ash:sea","rocky:subartic:windy:hot:tropical:artificial temperate:superheated"
80,"Chertan Sextant",5477,4,0.897,1.65,"jungle:sinkholes","hot:temperate:tropical:subartic:artic:frozen:artificial temperate"
81,"Sora Eosian",8659,6.52,0.911,1.93,"ocean","artificial temperate:temperate:artic"
82,"Dschubba Omicron",3055,0.97,0.376,1.37,"savanna","artic:tropical"
83,"Dschubba Iota",3055,0.84,0.898,0.98,"verdant","superheated:rocky:windy"
84,"Dschubba Beta",3055,7.11,1.019,1.91,"savanna:cityscape","subartic:hot:windy"
85,"Dschubba Rho",3055,7.61,1.161,1.87,"ice cave:rocky desert:ocean:plain","frigid:frozen:humid"
86,"Ignitionara XXIII",1235,6.44,1.149,1.78,"acid pool:sea:rocky island:desert:field","hot:artificial temperate:rocky:humid:frigid:windy"
87,"Quantumara Yi",51,7.31,1.044,1.91,"rainforest:mountain:cliff","rocky:artic:superheated"
88,"Quantumara Liu",51,4.95,1.474,1.5,"cliff:verdant:sea:vine:reef","frigid:tropical:artificial temperate:subartic:rocky"
89,"Quantumara Er",51,1.7,1.203,1.12,"swamp:fungus forest:valley","tropical:artic"
90,"Quantumara Ba",51,7.81,1.067,1.94,"toxic cloudsea:ocean","subartic:hot:artic:tropical:artificial temperate:frozen"
91,"Koi's Whisper Undecimal",9507,2.04,0.897,1.31,"sea:mountain:grassy hill:island","hot:frozen:windy:subartic"
92,"Koi's Whisper Quintal",9507,5.41,0.962,1.78,"plain:reef:cliff:acid pool","windy:hot:subartic:frigid"
93,"Koi's Whisper Secant",9507,1.24,1.013,1.07,"plateau","artic:frigid:frozen:humid:hot:superheated"
94,"Helian Nebula Asclepian",5330,2.68,1.134,1.33,"city:ice cave","artificial temperate:artic:frozen"
95,"Helian Nebula Psychean",5330,2.01,0.618,1.48,"lakes","windy:humid"
96,"Helian Nebula Irisian",5330,NA,0.628,1.6,"cliff:ice canyon:plateau:vine","frozen:arid:artic"
97,"Helian Nebula Hecatean",5330,3.91,1.09,1.53,"plateau:forest:verdant","temperate:humid:tropical:superheated"
98,"Helian Nebula Nereidos",5330,3.23,0.653,1.7,"verdant:glacier:urban","frozen:arid"
99,"Quantronix Astraeos",5844,3.76,1.4,1.39,"glacier","tropical:artificial temperate:subartic:humid:rocky"
100,"Quantronix Apollox",5844,0.66,0.79,0.94,"cave","windy:humid"
101,"Quantronix Hermesios",5844,0.72,1.21,0.84,"jungle:cave:acid pool:bog:rocky island","windy:humid:arid:tropical:artic"
102,"Quantronix Herculean",5844,2.77,0.868,1.47,"rainforest","tropical:hot"
103,"Quantronix Orphean",5844,3.6,0.834,1.63,"lakes:acid pool:rocky canyon:reef","arid:artic:hot:windy"
104,"Koit Zeta",7837,0.48,0.769,0.85,"toxic cloudsea:cityscape:island","humid:artic"
105,"Homam Jiu",7078,5.69,0.617,NA,"lakes:plain","temperate:artic:humid"
106,"Homam Liu",7078,5.84,0.677,2.05,"grassy hill:ice canyon:verdant:scrubland:vine:island:plateau","artificial temperate:artic:hot:arid:subartic:rocky"
107,"Homam Ba",7078,1.18,0.951,1.07,"volcano:verdant:rocky island","hot:temperate"
108,"Homam Yi",7078,0.77,1.421,0.82,"verdant:lakes:plain:desert:rocky canyon:city","humid:artic:arid:hot:frigid:subartic"
109,"Homam Si",7078,1.23,0.73,1.19,"rocky desert:plateau:valley","superheated:frigid:humid:rocky"
110,"Kaze Tau",1972,5.98,0.778,1.97,"barren:rocky canyon:cityscape:cliff:mountain","rocky:arid:temperate:humid"
111,"Kaze Nu",1972,3.15,1.534,1.27,"savanna:jungle:grassland:rocky island:cliff:rock arche","hot:tropical:windy:artificial temperate:frozen:arid:temperate"
112,"Cocibolca IX",8920,6.37,1.226,1.73,"forest:reef:city:cave:fungus forest","humid:temperate:artic:arid:tropical:windy"
113,"Sakuya Nebula Demetrian",4105,1.84,0.716,1.37,"vine:cityscape:swamp:island:jungle:city:glacier:verdant","subartic:frigid:temperate:frozen:tropical"
114,"Vesperian Crypt Apollox",6,1.36,1.569,0.95,"jungle:tundra","artificial temperate:subartic:tropical:windy"
115,"Vesperian Crypt Herculean",6,8.42,1.275,1.88,"ocean:cliff","windy:hot:humid:arid:tropical"
116,"Solaris Shroud VIII",475,6.31,1.061,1.81,"field:plateau","humid:temperate"
117,"Hikari Nebula Omicron",3573,4.53,1.662,1.4,"lakes:plateau","artic:windy"
118,"Hikari Nebula Lambda",3573,4.07,0.652,1.84,"mountain:desert","arid:frozen:artificial temperate"
119,"Zenithrax Duodecimal",273,2,0.787,1.36,"canyons:tundra:acid pool:urban:savanna:toxic cloudsea:reef:forest","temperate:frozen:hot:windy:subartic:artificial temperate"
120,"Hassaleh Typhonian",8570,4.36,1.066,NA,"jungle","arid:tropical"
121,"Brimstone Dionian",8608,1.09,0.968,1.04,"vine:swamp","frozen:rocky:hot:tropical"
122,"Revati Irisian",1388,4.43,1.305,1.5,"grassland:rocky island","humid:frozen:arid:superheated:frigid"
123,"Blizzardclaw Nyxios",4906,2.43,0.584,1.61,"island:jungle","tropical"
124,"Blizzardclaw Herculean",4906,1.44,1.512,0.98,"plateau:river:lakes:rocky island","rocky:frozen:superheated:subartic"
125,"Blizzardclaw Gaios",4906,5.34,1.098,1.69,"city:field","subartic:frigid:frozen:hot:humid"
126,"Blizzardclaw Hecatean",4906,5.59,0.927,1.82,"plateau:jungle","temperate:superheated"
127,"Blizzardclaw Pegasusian",4906,1.98,1.054,1.23,"cityscape:jungle:plain:river:reef","frozen:artic:frigid:superheated"
128,"Stellarastrum XXIV",1230,2.57,0.87,1.43,"rock arche:forest","arid:tropical:hot:rocky:subartic"
129,"Deneb Algedi Gaios",5336,NA,0.835,1.01,"city","tropical"
130,"Deneb Algedi Typhonian",5336,7.2,0.375,2.68,"lava river:rock arche:acid pool","arid:artificial temperate:tropical:superheated:humid"
131,"Deneb Algedi Dionian",5336,3.3,1.081,1.45,"hill","tropical:frozen:arid:windy:artificial temperate"
132,"Rasalgethi Undecimal",2110,3.56,1.13,1.47,"ocean:sinkholes:urban","frozen:artificial temperate:humid:windy:temperate:hot"
133,"Rasalgethi Secant",2110,2.6,0.757,1.51,"river:ice canyon:canyons","artificial temperate:frigid"
134,"Rasalgethi Quintal",2110,6.98,1.394,1.71,"ash:vine:rainforest:forest:barren:swamp","artic:arid:tropical:hot"
135,"Rasalgethi Decimal",2110,8.63,1.319,1.87,"city:canyons:urban","arid:hot"
136,"Rasalgethi Vigesimal",2110,6.88,0.762,2.08,"plain","windy:artificial temperate"
137,"Nemea Residue Er",1017,4.37,1.161,1.56,"grassland:rocky desert:savanna:glacier:acid pool:hill:grassy hill","arid:superheated:subartic:temperate:rocky"
138,"Nemea Residue Si",1017,5.7,1.134,1.71,"island:grassy hill","rocky:frozen:artificial temperate"
139,"Nemea Residue Ba",1017,2.85,1.29,1.3,"canyons:hill:lakes:plateau:cliff:tundra","subartic:arid:temperate:artificial temperate:frigid"
140,"Tesserara San",2719,2.03,1.319,1.15,"reef","frigid:frozen:arid"
141,"Tesserara Ba",2719,3.95,0.411,2.13,"volcano:vine","artificial temperate:rocky:artic:superheated:frigid:humid:subartic"
142,"Tesserara Er",2719,1.89,1.171,1.17,"lakes","windy:tropical"
143,"Thoth's Radiance VI",4151,6.71,1.379,1.69,"acid pool:valley:swamp:volcano","frozen:hot:tropical:humid:artic"
144,"Dziban XVIII",9668,7.03,1.016,1.91,"cliff:mountain:lakes:rocky island:cave","humid:windy:frigid:arid:hot"
145,"Sceptrum Delta",3705,1.57,1.531,1.01,"island:bog:rock arche:tundra:reef:fungus forest:valley:river","artic:frozen:temperate:subartic:hot"
146,"Sceptrum Psi",3705,2.33,1.185,1.25,"toxic cloudsea:barren","rocky:arid:subartic:artic:superheated:hot:temperate"
147,"Iklil Kappa",1243,4.99,0.768,1.87,"sinkholes:hill","superheated:arid"
148,"Acrab Olympus",5141,NA,1.208,1.22,"cityscape:rocky canyon:ice cave:acid pool:island","superheated:tropical:rocky:frigid:arid"
149,"Acrab Irisian",5141,0.75,1.028,0.9,"river:field:glacier:valley:tundra","hot:frigid:artic:windy"
150,"Acrab Hermesios",5141,2.84,1.616,1.21,"ice canyon:cityscape:grassy hill:lakes","hot:artic:arid:temperate:subartic"
151,"Sāmaya VI",5863,0.86,0.82,1.02,"volcano:jungle:lava river","artic:subartic:superheated:windy:frigid"
152,"Sāmaya XIII",5863,2.06,1.097,1.23,"ice cave:cave","humid:frozen:frigid:rocky:hot"
153,"Sāmaya XVIII",5863,1.31,0.957,1.11,"valley:hill:volcano:plateau","hot:superheated:humid:artificial temperate"
154,"Cryptic Shadows Atlasios",6813,6.1,0.911,1.89,"tundra:valley:hill","superheated:rocky:arid"
155,"Cryptic Shadows Irisian",6813,3.12,1.197,1.38,"sinkholes","superheated:arid:subartic"
156,"Cleopatra's Resonance Wu",3892,4,0.728,1.76,"lakes:ice canyon:rock arche:urban","frozen:superheated:artic:subartic"
157,"Fang IX",9814,2.23,1.356,NA,"jungle:cliff:rock arche:ash:field","tropical:frozen:windy:superheated"
158,"Nebulonara Faunios",7586,0.64,1.03,0.85,"verdant","rocky"
159,"Luminastra Typhonian",8277,6.9,0.864,2,"lakes:grassland","frozen:subartic:temperate:superheated"
160,"Comet Shroud Yi",542,4.37,0.939,1.67,"tundra","temperate:frigid:windy:arid:humid"
161,"Comet Shroud San",542,3.82,1.35,1.41,"island:ash","temperate:hot:artificial temperate:rocky:tropical:superheated"
162,"Symbionix Titanos",6665,7.4,1.341,1.77,"island:jungle:volcano","arid:artificial temperate:hot"
163,"Symbionix Asclepian",6665,3.13,1.15,1.4,"lakes:rocky desert","artic:frigid"
164,"Symbionix Dionysios",6665,9.22,0.62,2.46,"lava river:desert","arid:artic"
165,"Kagayaki Celestial Aphroditos",2370,0.94,1.226,0.92,"grassy hill","rocky:temperate:humid"
166,"Kagayaki Celestial Gaios",2370,0.47,0.479,0.99,"city:bog:lakes:canyons:field:rocky island","hot:superheated:artificial temperate:windy:tropical:subartic"
167,"Salm XVII",3303,1.76,1.057,NA,"rainforest:forest:ocean:desert","rocky:tropical:frozen:windy"
168,"Rigel XXII",2888,1.15,0.752,1.15,"desert:valley:cave:acid pool:river","frigid:artic:arid:humid"
169,"Tsukiyo XIV",2330,2.72,1.121,1.34,"sinkholes:cliff:island:jungle:bog","frozen:hot:rocky"
170,"Tsukiyo XVII",2330,0.97,0.953,1.01,"hill:bog","hot:subartic:windy"
171,"Tsukiyo XV",2330,1.52,0.979,1.16,"acid pool:valley","rocky"
172,"Koi's Radiance Persephonian",6870,2.95,0.69,1.62,"savanna:acid pool:lakes:swamp","arid:windy:tropical:frigid:superheated"
173,"Mizar IV",9656,2.02,1.51,1.1,"cave:island:river","humid:frigid"
174,"Cassioth Helios",7659,3,0.492,1.83,"plain:island:cave","hot:rocky:subartic:windy"
175,"Cassioth Gaios",7659,1.61,0.574,1.41,"hill:valley","subartic:frozen"
176,"Ombria Shi",2512,2.01,1.292,1.16,"lakes","hot:artificial temperate"
177,"Ombria Wu",2512,1.63,0.586,1.41,"rock arche","rocky:hot:temperate:tropical:superheated:subartic:artic"
178,"Sadalmelik Psi",636,9.92,0.895,2.23,"ice cave:plateau","subartic"
179,"Barnard's Star Harpian",4455,0.42,0.836,0.8,"city:rock arche","artic:frozen"
180,"Sakura Seraph Janusian",4231,3.57,1.253,1.42,"lava river:plateau","tropical:hot:frozen:superheated"
181,"Ronin's Enigma Epsilon",8034,1.18,1.13,1.01,"savanna:rainforest:ocean:verdant:jungle","hot:frigid:superheated:artic:arid:tropical:subartic"
182,"Ronin's Enigma Delta",8034,0.65,0.863,0.91,"verdant:fungus forest:hill:barren:plain:rainforest:jungle:rocky desert","superheated:arid:rocky:subartic:humid:hot"
183,"Ronin's Enigma Upsilon",8034,0.86,1.073,0.93,"mountain:island:plateau:ice canyon:urban","subartic:frozen:arid:temperate:superheated:artificial temperate"
184,"Sterrennacht XIX",4580,3.67,1.249,NA,"rainforest:glacier:swamp:desert","frozen:arid:superheated:subartic:humid:artificial temperate"
185,"Nile Celestial Atlasios",308,5.99,0.721,2.03,"city","rocky:arid:artic:humid"
186,"Suhail San",9739,7.91,0.762,2.18,"lakes","frozen:rocky:frigid:temperate:humid"
187,"Suhail Ba",9739,1.07,1.389,0.92,"sinkholes","hot"
188,"Suhail Shi",9739,8.25,1.114,1.95,"cave:rainforest:rock arche","temperate:humid:windy"
189,"Suhail Er",9739,5.72,1.327,1.63,"tundra:sinkholes:cityscape:ice canyon:city:ash","hot:artificial temperate:superheated:temperate:subartic:arid"
190,"Alrescha Upsilon",3674,0.94,0.954,1,"field:vine:island:cave:swamp","humid:frozen:artic:hot:artificial temperate"
191,"Eonix IX",6259,9.83,1.245,1.99,"rock arche:mountain:plateau","subartic:artificial temperate"
192,"Eonix VII",6259,1.65,1.319,1.08,"jungle","hot:humid:artic:superheated:rocky:arid:artificial temperate"
193,"Zavijava Zeta",1969,8.33,0.434,2.68,"hill:bog","humid:superheated:frozen"
194,"Zavijava Lambda",1969,4.96,1.785,1.41,"lava river:cliff","arid:temperate"
195,"Zavijava Theta",1969,7.89,1.19,1.88,"plain:verdant:ice canyon:grassy hill","hot:artic:superheated:tropical:temperate"
196,"Bunda Hermian",7477,1.17,0.935,1.08,"mountain","frigid:superheated"
197,"Kawa V",1131,1.76,0.999,1.21,"acid pool","hot:arid:rocky:temperate:frigid:artificial temperate:subartic"
198,"Whalebone Tritonian",5583,3.39,1.097,1.46,"desert:city","superheated:arid"
199,"Haruka Echoes Sirenios",7209,3.24,0.962,1.5,"volcano","hot:rocky:windy:frigid:artificial temperate"
200,"Haruka Echoes Hermesios",7209,2.97,0.885,1.5,"tundra:cliff","subartic"
201,"Asterope Janusian",9066,1.43,1.184,1.06,"rainforest","superheated:frozen:hot:frigid:artificial temperate:temperate"
202,"Kōri Decimal",5600,1.65,0.891,1.23,"ash:hill:scrubland:plain:rocky desert:barren","frozen:arid:superheated:rocky"
203,"Kōri Quintal",5600,2.81,1.176,1.34,"jungle","frigid:hot:temperate:artificial temperate:rocky:tropical"
204,"Kōri Quartal",5600,8.8,0.869,2.16,"river","frigid:superheated:hot"
205,"Algieba XXIV",9889,3.84,0.759,1.72,"sea:rocky desert:cityscape:ice canyon:ash:valley:fungus forest:rocky canyon","arid:humid:rocky:temperate:superheated:subartic"
206,"Skjoldr IV",8400,8.32,0.98,2.04,"hill:barren:vine:reef:sea:ocean:jungle","arid:tropical:superheated:artic:hot"
207,"Skjoldr XIII",8400,2.09,1.331,1.16,"jungle","frozen:tropical"
208,"Skjoldr XV",8400,0.58,0.715,0.93,"hill","artic:rocky:temperate:humid:frigid"
209,"Skjoldr X",8400,0.51,0.841,0.85,"ocean:cliff:reef","tropical:frozen:frigid:arid:windy:humid"
210,"Skjoldr V",8400,9.45,0.95,2.15,"cliff","rocky:windy:humid:artificial temperate:artic"
211,"Gudja Eosian",4430,1.51,0.87,1.2,"plain:ash:lakes:acid pool:urban:tundra","rocky:superheated:temperate:arid:subartic:frigid"
212,"Gudja Selenean",4430,5.38,1.2,1.65,"tundra:desert:lakes","windy:arid:hot:subartic:superheated:rocky:humid"
213,"Gudja Faunios",4430,2.9,0.883,1.49,"tundra:savanna","hot:arid:artic"
214,"Spectral Threshold Si",8987,2.14,1.209,1.21,"ice canyon","windy:frozen:hot:temperate:superheated"
215,"Grumium VI",1362,8.52,1.267,1.89,"savanna:urban:tundra:desert","hot:humid:subartic:superheated:windy"
216,"Grumium V",1362,7.66,0.666,2.26,"glacier:sea:reef:plateau:river","frigid:windy:frozen:artic:arid"
217,"Grumium XXIV",1362,2.22,1.07,1.28,"glacier:reef:canyons:barren:hill","arid:hot:frozen:frigid"
218,"Grumium XVII",1362,2.97,1.329,1.31,"grassland:canyons:plain:forest","arid:rocky:humid:windy"
219,"Solarionis Nu",5128,7.62,0.466,2.54,"verdant","frozen"
220,"Solarionis Gamma",5128,5.55,1.232,1.65,"plateau:mountain:cityscape:jungle:rainforest","hot:artic:superheated"
221,"Bastet's Mirage Hermian",5937,6.14,1.035,1.81,"lava river","tropical:frozen:arid"
222,"Baekdu I",8687,4.96,1.564,1.47,"field:toxic cloudsea","tropical:humid:arid:artic"
223,"Baekdu IV",8687,2.86,1.457,1.25,"rocky canyon:canyons:cityscape:lakes","frozen:temperate:frigid:artic"
224,"Baekdu V",8687,2.41,1.451,1.18,"jungle:scrubland","arid:temperate:hot:superheated"
225,"Baekdu VII",8687,4.53,0.647,1.91,"canyons:plateau:hill:mountain:jungle:rock arche:savanna","temperate:hot:frigid:subartic:tropical:frozen"
226,"Stormrider Omicron",464,0.69,1.001,0.88,"hill:cliff","hot:superheated"
227,"Stormrider Kappa",464,4.27,0.942,1.65,"rocky canyon:lava river:ice cave","arid:artic:artificial temperate"
228,"Stormrider Mu",464,3.5,0.685,1.72,"field:city:cave","rocky:artificial temperate"
229,"Stormrider Epsilon",464,3.35,1.321,1.36,"rock arche:verdant","artificial temperate"
230,"Muliphein Delta",2750,NA,1.06,1.7,"plain","rocky:arid:tropical"
231,"Rasalas Nereidos",8056,2.9,0.792,1.54,"rock arche:cave","arid:subartic:tropical"
232,"Rasalas Hestian",8056,2.95,0.869,1.5,"vine","artificial temperate:temperate:subartic:artic:windy"
233,"Arkab Posterior Mu",4005,4.9,0.721,1.89,"grassland","humid:frigid:tropical:temperate"
234,"Arkab Posterior Omega",4005,6.55,0.793,2.02,"verdant:barren","rocky:artic:artificial temperate:arid:frozen:frigid:hot"
235,"Isis Threshold Psi",2705,0.43,1.076,0.74,"acid pool:urban:field:cave","temperate:frigid:hot:arid"
236,"Alula Borealis Iota",1348,3.06,0.975,1.46,"cliff:hill:valley:field:ice canyon:lava river","windy:frozen:superheated:subartic:tropical"
237,"Galaxy Seraph XX",1640,0.69,0.9,0.92,"volcano:reef:tundra:sea","hot:subartic:superheated:artic:humid:windy"
238,"Galaxy Seraph V",1640,1.85,1.138,1.18,"island","subartic:hot:tropical"
239,"Eonara Eta",6989,1.71,0.949,1.22,"rocky desert:rocky canyon:fungus forest","humid:arid"
240,"Eonara Psi",6989,2.55,0.839,1.45,"river:city:jungle:verdant:rocky canyon","subartic:arid:frigid:hot:windy"
241,"Rōka Tritonian",7175,9.54,0.861,2.23,"jungle","temperate:superheated:frozen:artic"
